road,modal_class,segments,length_m,mean_lanes,mean_speed_mph,oneway_share,transit_share,max_transit_routes,commercial_share,junction_share,unpaved_share,class_pts,lane_pts,speed_pts,oneway_pts,transit_pts,commercial_pts,junction_pts,surface_pts,score,category,min_segment_score,max_segment_score,score_std,dominant_category,category_consistency,classification_margin,margin_label,lanes_imputed_share,speed_imputed_share,data_completeness
Soldiers Field Frontage Road Eastbound,primary,3,362,3.2,40,1.0,1.0,2,1.0,0.34,0.0,28.0,8.91,6.0,2.0,4.78,5.0,1.01,0.0,55.7,High,54.0,61.0,3.1,High,1.0,17.7,stable,0.0,0.0,1.0
Memorial Drive,trunk,12,2767,4.0,36,0.0,0.0,0,0.73,0.47,0.0,34.0,12.0,4.44,0.0,0.0,3.66,1.41,0.0,55.5,High,50.0,58.0,3.4,High,1.0,17.5,stable,0.0,0.0,1.0
Soldiers Field Road,motorway,11,4826,2.4,35,1.0,0.0,0,0.67,0.07,0.0,37.91,5.63,4.0,0.35,0.0,3.34,0.22,0.0,51.5,High,38.0,57.0,5.5,High,0.91,13.5,stable,0.0,0.0,1.0
McGrath Highway,trunk,28,3250,2.2,38,1.0,0.32,3,0.84,0.08,0.0,32.98,4.7,5.32,0.34,1.33,3.94,0.23,0.0,48.8,High,35.0,60.0,6.4,High,0.93,10.8,stable,0.0,0.17,0.92
Union Square,primary,6,196,2.9,20,0.46,1.0,6,1.0,0.43,0.0,28.0,7.41,0.0,0.93,5.14,5.0,1.3,0.0,47.8,High,42.0,55.0,4.5,High,1.0,9.8,stable,0.0,0.0,1.0
Eliot Bridge,motorway,4,809,2.5,27,1.0,0.0,0,0.0,0.52,0.0,38.84,6.09,0.71,0.0,0.0,0.0,1.57,0.0,47.2,High,44.0,51.0,2.7,High,1.0,9.2,stable,0.0,0.0,1.0
Prospect Street,primary,29,1763,2.3,26,0.0,1.0,6,1.0,0.51,0.0,28.0,5.4,0.52,0.0,6.02,4.64,1.53,0.0,46.1,High,41.0,51.0,3.2,High,1.0,8.1,stable,0.0,0.0,1.0
River Street,primary,13,1097,2.2,25,1.0,1.0,4,1.0,0.74,0.0,28.0,4.65,0.24,2.0,5.21,3.71,2.23,0.0,46.0,High,41.0,55.0,4.4,High,1.0,8.0,stable,0.0,0.0,1.0
John F. Kennedy Street,primary,8,591,2.4,22,0.46,0.54,4,1.0,0.66,0.0,28.0,5.71,0.0,0.91,3.8,5.0,1.98,0.0,45.4,High,39.0,51.0,4.3,High,1.0,7.4,stable,0.12,0.0,0.94
Peabody Street,primary,6,114,2.2,20,1.0,1.0,3,1.0,0.0,0.0,28.0,4.98,0.0,2.0,5.0,5.0,0.0,0.0,45.0,High,44.0,48.0,1.5,High,1.0,7.0,stable,0.0,0.0,1.0
Soldiers Field Frontage Road Westbound,primary,2,352,1.1,40,1.0,0.0,0,1.0,1.0,0.0,28.0,0.47,6.0,2.0,0.0,5.0,3.0,0.0,44.5,High,44.0,48.0,2.0,High,1.0,6.5,stable,0.0,0.0,1.0
Massachusetts Avenue,primary,114,6370,2.2,22,0.71,0.94,8,0.94,0.46,0.0,27.32,4.93,0.0,1.35,4.68,4.48,1.37,0.0,44.1,High,9.0,53.0,5.1,High,0.97,6.1,stable,0.0,0.0,1.0
Mount Auburn Street,primary,24,1658,2.0,22,0.52,0.86,7,0.87,0.59,0.0,28.0,3.88,0.0,1.04,4.42,4.25,1.76,0.0,43.4,High,36.0,49.0,3.1,High,0.92,5.4,stable,0.0,0.0,1.0
Somerville Avenue,primary,39,2647,2.1,22,0.16,1.0,6,0.83,0.29,0.0,28.0,4.49,0.0,0.32,5.19,3.88,0.86,0.0,42.7,High,37.0,53.0,3.7,High,0.95,4.7,moderate,0.0,0.0,1.0
Sidney Street Extension,primary,2,54,2.8,25,0.0,0.0,0,1.0,0.8,0.0,28.0,7.19,0.0,0.0,0.0,5.0,2.39,0.0,42.6,High,37.0,44.0,3.5,Moderate,0.5,4.6,moderate,0.0,0.0,1.0
Waterhouse Street,primary,4,245,2.0,20,0.16,0.95,4,1.0,0.21,0.0,27.02,4.0,0.0,0.32,6.31,4.0,0.62,0.0,42.3,High,19.0,48.0,11.1,High,0.75,4.3,moderate,0.0,0.0,1.0
Hampshire Street,primary,21,1302,2.0,23,0.0,0.74,2,1.0,0.77,0.0,28.0,4.0,0.0,0.0,3.42,3.69,2.32,0.0,41.4,High,37.0,45.0,2.8,High,0.81,3.4,moderate,0.0,0.0,1.0
Sidney Street,primary,5,669,1.6,25,0.44,0.55,1,1.0,1.0,0.0,28.0,2.54,0.0,0.88,1.65,5.0,3.0,0.0,41.1,High,40.0,44.0,1.6,High,1.0,3.1,moderate,0.0,0.0,1.0
Beacon Street,primary,14,1861,2.0,25,0.0,0.47,2,1.0,0.29,0.0,28.0,4.07,0.0,0.0,2.35,4.99,0.87,0.0,40.3,High,36.0,45.0,2.7,High,0.71,2.3,moderate,0.0,0.0,1.0
Cambridge Street,secondary,59,3904,2.1,26,0.47,0.99,4,0.98,0.34,0.0,23.61,4.52,1.18,0.93,4.29,4.38,1.02,0.0,39.9,High,33.0,55.0,6.8,Moderate,0.53,1.9,borderline,0.03,0.0,0.98
Western Avenue,secondary,33,2272,2.1,25,0.56,1.0,4,0.68,0.32,0.0,24.98,4.59,0.0,1.11,5.07,3.21,0.96,0.0,39.9,High,31.0,51.0,7.1,High,0.52,1.9,borderline,0.0,0.0,1.0
Main Street,primary,5,781,2.1,25,0.0,0.0,0,1.0,0.78,0.0,28.0,4.36,0.0,0.0,0.0,5.0,2.35,0.0,39.7,High,37.0,41.0,1.7,High,0.6,1.7,borderline,0.0,0.0,1.0
Brookline Street,primary,4,1226,1.0,20,1.0,0.93,1,1.0,0.27,0.0,28.0,0.17,0.0,2.0,2.8,5.0,0.8,0.0,38.8,High,38.0,41.0,1.2,Moderate,0.5,0.8,borderline,0.0,0.0,1.0
Broadway,secondary,20,2537,2.1,24,0.11,1.0,6,1.0,0.37,0.0,22.3,4.39,0.0,0.22,5.69,5.0,1.12,0.0,38.7,High,32.0,56.0,6.6,High,0.55,0.7,borderline,0.0,0.0,1.0
Eliot Street,primary,7,358,2.3,22,0.39,0.72,9,1.0,0.24,0.0,21.51,5.33,0.0,0.77,4.89,5.0,0.73,0.0,38.2,High,14.0,49.0,11.6,High,0.86,0.2,borderline,0.0,0.0,1.0
Vassar Street,secondary,5,552,2.2,20,0.0,1.0,3,1.0,0.23,0.0,22.0,4.91,0.0,0.0,5.0,5.0,0.68,0.0,37.6,Moderate,36.0,43.0,2.6,High,0.6,0.4,borderline,0.0,0.0,1.0
