road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Vauxhall Bridge,trunk,5,4.4,32,0.6,1.0,1.0,0.4,0.0,0.0,0.0,59.8,High,high
Duke of Wellington Place,trunk,6,4.3,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.3,High,high
Bricklayers Arms Roundabout,trunk,20,3.6,42,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56.7,High,high
Great Eastern Street,trunk,18,3.6,32,0.28,0.94,1.0,0.44,0.0,0.0,0.0,56.4,High,high
Brixton Road,trunk,33,3.2,48,0.27,1.0,1.0,0.12,0.0,0.27,0.0,56.2,High,medium
Bridgefoot,trunk,14,3.6,32,0.79,1.0,1.0,0.14,0.0,0.0,0.0,56.0,High,high
Marble Arch,trunk,7,4.9,32,1.0,0.86,1.0,0.0,0.0,0.14,0.0,55.9,High,medium
Kingsland Road,trunk,56,3.4,32,0.0,1.0,1.0,0.16,0.0,0.02,0.0,55.1,High,medium
Euston Circus,trunk,4,2.8,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,55.0,High,high
Parry Street,trunk,11,3.4,32,1.0,1.0,1.0,0.09,0.0,0.0,0.0,54.7,High,high
Wellington Road,trunk,7,2.7,32,0.43,1.0,1.0,0.86,0.0,0.0,0.0,54.4,High,high
Old Kent Road,trunk,42,2.6,48,0.9,1.0,1.0,0.24,0.0,0.19,0.0,54.2,High,medium
Harleyford Street,trunk,3,2.7,32,0.0,1.0,1.0,0.67,0.0,0.33,0.0,53.7,High,medium
Bishop's Bridge,primary,5,4.6,32,0.0,1.0,1.0,0.0,0.0,0.2,0.0,53.4,High,medium
Eccleston Bridge,trunk,6,2.8,32,1.0,1.0,1.0,0.33,0.0,0.17,0.0,53.3,High,medium
Grosvenor Place,trunk,30,3.0,32,0.67,1.0,1.0,0.03,0.0,0.0,0.0,53.2,High,high
Marylebone Road,trunk,96,2.7,32,1.0,0.99,1.0,0.45,0.0,0.0,0.0,53.0,High,high
Camden Road,trunk,31,2.8,32,0.26,1.0,1.0,0.26,0.0,0.0,0.0,52.7,High,high
Cumberland Gate,trunk,9,2.9,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,52.6,High,high
Edgware Road,trunk,77,2.6,32,0.66,1.0,1.0,0.35,0.0,0.03,0.0,52.6,High,medium
Kennington Park Road,trunk,45,2.8,32,0.42,1.0,1.0,0.09,0.0,0.11,0.0,52.6,High,medium
Vauxhall Bridge Road,trunk,37,2.7,32,0.57,1.0,1.0,0.22,0.0,0.3,0.0,52.4,High,medium
Bessborough Gardens,trunk,9,2.4,32,1.0,1.0,1.0,0.56,0.0,0.22,0.0,52.4,High,medium
Old Marylebone Road,trunk,14,2.6,32,0.43,0.93,1.0,0.43,0.0,0.0,0.0,52.4,High,high
Holloway Road,trunk,12,2.8,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,High,high
Camberwell New Road,trunk,62,2.1,45,0.34,0.98,1.0,0.24,0.0,0.39,0.0,51.9,High,medium
Shoreditch High Street,trunk,38,2.9,32,0.32,1.0,1.0,0.32,0.0,0.03,0.0,51.9,High,medium
Lower Grosvenor Place,trunk,4,2.8,32,1.0,0.75,1.0,0.75,0.0,0.0,0.0,51.8,High,high
Park Road,trunk,43,2.3,32,0.56,1.0,1.0,0.4,0.0,0.0,0.0,51.6,High,high
Upper Street,trunk,36,2.4,32,0.61,1.0,1.0,0.28,0.0,0.0,0.0,51.3,High,high
Finchley Road,trunk,65,2.6,32,0.98,0.98,1.0,0.18,0.0,0.12,0.02,51.3,High,low
Clapham Road,trunk,62,2.4,34,0.19,1.0,1.0,0.11,0.0,0.68,0.0,51.2,High,medium
Newington Butts,trunk,33,2.3,36,0.76,0.94,1.0,0.18,0.0,0.27,0.0,50.9,High,medium
Elephant and Castle,trunk,34,2.4,33,0.97,1.0,1.0,0.18,0.0,0.03,0.0,50.9,High,medium
Euston Road,trunk,137,2.5,32,0.85,0.95,1.0,0.24,0.0,0.04,0.0,50.7,High,medium
New Kent Road,trunk,33,2.4,33,0.85,1.0,1.0,0.0,0.0,0.0,0.0,50.6,High,high
Stockwell Road,trunk,24,1.8,48,0.38,1.0,1.0,0.08,0.0,0.04,0.0,50.3,High,medium
South Lambeth Road,trunk,55,2.2,34,0.49,0.93,1.0,0.18,0.0,0.62,0.0,50.3,High,medium
Gloucester Place,primary,44,2.7,34,0.11,1.0,1.0,0.39,0.0,0.0,0.05,50.2,High,medium
Battersea Park Road,trunk,101,2.1,38,0.5,0.98,1.0,0.24,0.0,0.44,0.0,50.2,High,medium
Peckham Road,trunk,10,2.2,32,0.0,1.0,1.0,0.1,0.0,0.3,0.0,50.1,High,medium
Tower Bridge Road,trunk,40,2.1,34,0.45,1.0,1.0,0.25,0.0,0.07,0.0,50.1,High,medium
Battersea Bridge Road,trunk,34,2.3,33,0.21,0.94,1.0,0.12,0.0,0.29,0.0,50.1,High,medium
Kensington Road,primary,7,4.0,32,0.0,1.0,0.71,0.14,0.0,0.0,0.0,50.0,High,high
Camberwell Church Street,trunk,11,2.2,32,0.0,1.0,1.0,0.09,0.0,0.45,0.0,50.0,High,medium
Bridge Place,trunk,3,2.0,32,1.0,1.0,1.0,0.33,0.0,0.67,0.0,50.0,High,medium
Bressenden Place,trunk,4,2.0,32,1.0,1.0,1.0,0.25,0.0,0.0,0.0,49.8,High,high
Bricklayers Arms Flyover,trunk,3,1.7,48,1.0,1.0,1.0,0.0,0.0,0.67,0.0,49.8,High,medium
Hampstead Road,trunk,71,2.1,32,0.45,1.0,1.0,0.06,0.0,0.8,0.0,49.6,High,medium
King Charles I Island,primary,7,3.1,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,49.6,High,high
Camden High Street,trunk,12,2.2,32,0.92,1.0,1.0,0.25,0.0,0.25,0.0,49.4,High,medium
Pentonville Road,trunk,42,2.1,32,0.81,1.0,1.0,0.5,0.0,0.02,0.0,49.4,High,medium
Cromwell Gardens,trunk,7,2.0,32,1.0,1.0,1.0,0.14,0.0,0.0,0.0,49.4,High,high
