road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Rajiv Gandhi Sea Link,motorway,10,6.2,88,1.0,0.0,0.6,0.0,0.0,0.2,0.8,75.8,High,low
Western Express Highway,motorway,34,3.2,88,1.0,0.68,0.62,0.0,0.0,0.68,0.76,68.1,High,low
Kalina-Vakola Flyover,motorway,12,3.1,89,1.0,0.5,0.5,0.0,0.0,0.75,0.83,66.1,High,low
Airport Flyover,motorway,4,3.2,85,1.0,0.5,0.5,0.0,0.0,0.75,0.5,65.8,High,low
Western Freeway,motorway,1,3.0,90,1.0,0.0,1.0,0.0,0.0,1.0,1.0,65.5,High,low
Khodadad Circle,trunk,8,4.0,70,1.0,1.0,1.0,0.0,0.0,0.0,1.0,64.5,High,medium
Sion Panvel Highway,trunk,53,4.3,66,1.0,0.98,0.83,0.53,0.0,0.0,1.0,64.3,High,medium
Bandra Worli Sea Link Flyover,motorway,7,2.4,81,1.0,0.57,1.0,0.0,0.0,1.0,0.71,62.6,High,low
Eastern Freeway,motorway,38,2.4,89,1.0,0.18,0.84,0.0,0.0,0.0,0.63,62.5,High,medium
Jeejabai Bhosale Marg,trunk,3,3.0,70,1.0,1.0,1.0,0.67,0.0,0.0,1.0,62.5,High,medium
Dr Babasaheb Ambedkar Marg (Vincent Road),trunk,14,3.1,70,1.0,1.0,1.0,0.43,0.0,0.0,1.0,62.4,High,medium
Ghatkopar - Mankhurd Link Road,trunk,8,3.0,70,1.0,0.88,1.0,0.5,0.0,0.0,1.0,61.2,High,medium
Laxmibai Kelkar Marg,trunk,18,3.1,67,1.0,1.0,1.0,0.44,0.0,0.0,1.0,60.6,High,medium
King's Circle,trunk,6,3.0,70,0.0,1.0,1.0,0.0,0.0,0.0,1.0,60.5,High,medium
Eastern Express Highway,trunk,24,3.4,70,1.0,0.92,0.58,0.04,0.0,0.0,0.83,59.7,High,medium
BARC Flyover,trunk,2,3.0,70,1.0,1.0,0.5,0.0,0.0,0.0,1.0,58.0,High,medium
Sahitya Ratna Annabhau Sathe Flyover,trunk,3,2.0,70,1.0,1.0,1.0,0.0,0.0,0.0,1.0,56.5,High,medium
Annabhau Sathe Flyover,trunk,1,2.0,70,1.0,1.0,1.0,0.0,0.0,0.0,1.0,56.5,High,medium
Santa Cruz – Chembur Link Road,trunk,65,2.6,70,1.0,0.77,0.88,0.25,0.0,0.06,0.86,56.2,High,low
Kalanagar Flyover,motorway,6,3.0,40,1.0,0.5,1.0,0.0,0.0,0.67,0.0,56.0,High,medium
Eastern Express Highway Flyover,trunk,6,2.0,70,1.0,1.0,0.83,0.0,0.0,0.0,1.0,55.7,High,medium
Santa Cruz – Chembur Link Road Flyover,trunk,9,2.0,83,1.0,0.56,0.67,0.0,0.0,0.0,0.56,55.5,High,medium
C S T Kurla Junction Flyover,trunk,4,3.0,70,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.5,High,medium
C S M T Kurla Junction Flyover,trunk,2,3.0,70,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.5,High,medium
Ghatkopar - Mankhurd Link Road Flyover,trunk,4,3.0,70,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.5,High,medium
Shahid Major Kaustubh Rane flyover,trunk,8,2.0,75,1.0,0.5,1.0,0.25,0.0,0.0,0.75,54.0,High,medium
Bandra Kurla Complex Road,primary,38,3.4,49,0.95,1.0,1.0,0.29,0.0,0.13,1.0,53.3,High,low
Sion Hospital Flyover,trunk,4,2.0,75,1.0,0.0,1.0,0.0,0.0,0.0,0.5,51.8,High,medium
Sayani Marg,primary,1,3.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,51.5,High,medium
King's Circle Flyover,trunk,5,2.2,70,1.0,0.0,1.0,0.0,0.0,0.0,0.6,51.3,High,medium
Sion Circle,primary,6,3.0,50,0.83,1.0,1.0,0.0,0.0,0.0,1.0,51.2,High,medium
Dadar TT flyover,trunk,2,3.0,55,1.0,0.0,1.0,0.0,0.0,0.0,0.5,50.8,High,medium
Jaganath Shankur Seth (Dadar TT) Flyover,trunk,2,2.0,70,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.5,High,medium
