road,modal_class,segments,length_m,mean_lanes,mean_speed_mph,oneway_share,transit_share,max_transit_routes,commercial_share,junction_share,unpaved_share,class_pts,lane_pts,speed_pts,oneway_pts,transit_pts,commercial_pts,junction_pts,surface_pts,score,category,min_segment_score,max_segment_score,score_std,dominant_category,category_consistency,classification_margin,margin_label,lanes_imputed_share,speed_imputed_share,data_completeness
Nyayo Stadium Roundabout,trunk,6,175,4.0,45,0.0,0.83,17,1.0,0.0,0.0,34.0,12.0,8.0,0.0,5.84,4.0,0.0,0.0,63.8,High,58.0,65.0,2.6,High,1.0,25.8,stable,0.0,1.0,0.5
Chiromo Road,trunk,8,3226,3.0,38,1.0,1.0,10,1.0,0.0,0.0,34.0,8.0,5.32,0.0,7.0,5.0,0.0,0.0,59.3,High,56.4,62.0,2.7,High,1.0,21.3,stable,0.0,0.52,0.74
Nairobi Expressway,motorway,44,28714,2.2,50,1.0,0.0,0,0.94,0.0,0.0,40.0,4.79,9.92,0.0,0.0,4.13,0.0,0.0,58.8,High,53.9,62.9,2.4,High,1.0,20.8,stable,0.0,0.02,0.99
Muranga Road,trunk,4,54,2.0,45,1.0,1.0,22,1.0,0.0,0.0,34.0,4.0,8.0,0.0,7.0,5.0,0.0,0.0,58.0,High,58.0,58.0,0.0,High,1.0,20.0,stable,1.0,1.0,0.0
Waiyaki Way,trunk,6,2965,2.0,44,1.0,0.98,6,1.0,0.0,0.0,33.78,3.85,7.78,0.0,6.84,4.21,0.0,0.0,56.5,High,35.0,58.0,9.5,High,0.83,18.5,stable,0.04,1.0,0.48
Haile Selassie Roundabout,trunk,6,148,3.0,31,1.0,1.0,29,1.0,0.0,0.0,34.0,8.0,2.43,0.0,7.0,5.0,0.0,0.0,56.4,High,56.4,56.4,0.0,High,1.0,18.4,stable,0.0,0.0,1.0
University Way,trunk,8,1181,3.7,31,1.0,0.86,9,1.0,0.14,0.0,31.1,10.84,2.43,0.29,5.99,5.0,0.43,0.0,56.1,High,30.4,60.4,13.0,High,0.75,18.1,stable,0.0,0.0,1.0
Nairobi - Mombasa Road,trunk,2,189,2.5,45,1.0,1.0,7,0.0,0.0,0.0,34.0,6.12,8.0,0.0,7.0,0.0,0.0,0.0,55.1,High,53.0,57.0,2.0,High,1.0,17.1,stable,0.47,1.0,0.27
Uhuru Highway,trunk,16,7018,3.0,34,1.0,0.73,20,1.0,0.0,0.0,34.0,8.0,3.59,0.0,4.72,4.54,0.0,0.0,54.9,High,49.4,62.0,4.2,High,1.0,16.9,stable,0.0,0.21,0.9
Mombasa Road,trunk,23,15738,2.8,31,1.0,1.0,9,0.89,0.06,0.0,34.0,7.31,2.46,0.0,7.0,3.64,0.18,0.0,54.6,High,50.4,60.0,3.0,High,1.0,16.6,stable,0.0,0.01,0.99
University Way Round About,trunk,4,151,2.0,38,1.0,1.0,10,1.0,0.0,0.0,34.0,4.0,5.05,0.0,5.41,5.0,0.0,0.0,53.5,High,52.4,58.0,2.1,High,1.0,15.5,stable,0.93,0.47,0.3
Southern Bypass,trunk,17,31234,2.0,59,1.0,0.0,0,0.54,0.0,0.0,33.82,4.0,13.6,0.03,0.0,1.87,0.0,0.0,53.3,High,30.0,56.9,7.5,High,0.88,15.3,stable,0.02,0.01,0.98
Globe Roundabout,trunk,11,582,2.1,32,0.0,1.0,19,1.0,0.0,0.0,34.0,4.56,2.66,0.0,6.55,5.0,0.0,0.0,52.8,High,50.4,58.0,2.0,High,1.0,14.8,stable,0.83,0.04,0.56
