road,osm_class,segments,lanes,speed_kmh,transit,commercial,score,category,confidence
Autoroute de l’Est,motorway,3,5,70,True,True,74.5,High,high
Avenue des Champs-Élysées,primary,19,8,50,True,True,61.3,High,high
Tunnel de Bicêtre,motorway,3,3,70,True,True,58.8,High,high
Tunnel d'Italie,motorway,4,2,50,True,True,57.5,High,high
Tunnel d'Orléans,motorway,3,3,50,True,True,57.2,High,high
Quai de Gesvres,primary,4,5,30,True,True,57.0,High,high
Pont Alexandre III,primary,3,6,30,True,False,56.0,High,high
Avenue Jean Lolive,primary,4,4,50,True,True,56.0,High,medium
Pont Charles de Gaulle,primary,4,5,30,True,True,54.8,High,high
Boulevard Périphérique Intérieur,trunk,58,5,50,True,True,54.8,High,high
Boulevard Ornano,primary,1,4,30,True,True,54.0,High,high
Boulevard Périphérique Extérieur,trunk,57,5,50,True,True,53.8,High,medium
Avenue de la Porte d'Italie,primary,22,6,30,True,True,53.8,High,medium
Boulevard des Capucines,primary,5,7,30,True,True,53.8,High,high
Quai de la Mégisserie,primary,5,5,30,True,True,53.8,High,high
Avenue Bosquet,primary,10,5,30,True,True,53.5,High,high
Avenue de la Porte de Pantin,primary,5,4,30,True,True,53.0,High,high
Quai du Louvre,primary,1,4,30,True,True,53.0,High,high
Place de la République,primary,17,7,30,True,True,52.2,High,medium
Quai François Mitterrand,primary,4,5,30,True,True,52.2,High,high
Boulevard Beaumarchais,primary,15,5,30,True,True,52.2,High,high
Boulevard Barbès,primary,20,6,30,True,True,52.1,High,high
Quai Saint-Michel,primary,1,3,30,True,True,52.0,High,high
Avenue d'Italie,primary,25,8,30,True,True,52.0,High,medium
Avenue du Général Leclerc,primary,25,4,50,True,True,52.0,High,medium
Boulevard Haussmann,primary,38,6,30,True,True,51.3,High,high
Boulevard des Filles du Calvaire,primary,6,4,30,True,True,51.2,High,high
Place de la Chapelle,primary,5,4,30,True,True,51.0,High,high
Avenue de la Porte d'Asnières,primary,18,4,50,True,True,50.8,High,medium
Boulevard du Montparnasse,primary,18,6,30,True,True,50.7,High,medium
Porte d'Asnières,primary,2,2,50,True,True,50.5,High,medium
Place du Châtelet,secondary,2,5,30,True,True,50.0,High,high
Place du 25 Août 1944,primary,9,3,50,True,True,49.9,High,medium
Boulevard du Temple,primary,12,4,30,True,True,49.8,High,high
Avenue de Fontainebleau,primary,13,4,50,True,True,49.7,High,high
Pont de Sully,primary,5,3,30,True,True,49.6,High,high
Quai des Célestins,primary,6,4,30,True,True,49.5,High,high
Boulevard de Magenta,primary,34,6,30,True,True,49.5,High,medium
