road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Avenida Marginal Tietê (Expressa),motorway,2,4.0,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,69.5,High,high
Avenida Presidente Castelo Branco (Expressa),motorway,1,4.0,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,69.5,High,high
Marginal Tietê (Expressa),motorway,48,3.5,90,1.0,0.0,0.73,0.0,0.0,0.0,0.06,66.0,High,medium
Avenida Assis Chateaubriand (Expressa),motorway,1,3.0,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,65.5,High,high
Avenida Otaviano Alves de Lima (Expressa),motorway,1,3.0,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,65.5,High,high
Avenida Morvan Dias de Figueiredo (Expressa),motorway,3,2.7,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,64.2,High,high
Avenida Marginal Tietê Expressa,motorway,2,3.0,90,1.0,0.0,0.5,0.0,0.0,0.0,0.0,63.0,High,high
Praça Armando de Sales de Oliveira,primary,2,5.0,50,1.0,1.0,1.0,1.0,0.0,0.0,0.0,62.5,High,high
Marginal Tietê Expressa,motorway,3,2.0,90,1.0,0.0,0.67,0.0,0.0,0.0,0.0,59.8,High,high
Ponte das Bandeiras,trunk,9,4.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,59.5,High,high
Túnel São João Paulo II,trunk,3,4.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,59.5,High,high
Avenida Brigadeiro Faria Lima,trunk,37,4.7,50,1.0,1.0,0.0,0.78,0.0,0.0,0.0,59.4,High,high
Rodovia Presidente Dutra,motorway,34,2.2,86,1.0,0.32,0.24,0.0,0.0,0.0,0.0,59.3,High,high
Avenida Presidente Castelo Branco (Marginal Tietê) Sentido Leste,trunk,5,4.2,70,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.3,High,high
Avenida Vinte e Três de Maio,trunk,59,4.0,59,1.0,0.69,0.95,0.0,0.0,0.0,0.1,59.1,High,medium
Avenida Professor Luiz Ignácio Anhaia Mello,trunk,35,3.6,50,1.0,0.94,0.97,0.51,0.0,0.0,0.06,58.6,High,medium
Avenida Otaviano Alves de Lima,trunk,16,3.6,62,1.0,0.88,0.62,0.0,0.0,0.0,0.0,58.6,High,high
Praça Luiz Carlos Mesquita,primary,9,4.7,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,58.2,High,medium
Avenida Presidente Castelo Branco (Local),trunk,22,3.4,60,1.0,0.95,0.68,0.0,0.0,0.0,0.0,57.8,High,high
Avenida Professor Noé Azevedo,primary,14,4.1,50,1.0,1.0,0.93,0.64,0.0,0.0,0.0,57.6,High,high
Avenida Morvan Dias de Figueiredo (Local),trunk,50,3.4,60,1.0,0.92,0.62,0.0,0.0,0.0,0.0,57.2,High,high
Avenida Marquês de São Vicente,primary,33,4.0,50,1.0,1.0,0.88,0.7,0.0,0.0,0.03,57.1,High,medium
Avenida Condessa Elisabeth de Robiano,trunk,10,3.7,60,1.0,1.0,0.2,0.0,0.0,0.0,0.0,56.8,High,high
Avenida Assis Chateaubriand,trunk,12,3.2,60,1.0,0.67,1.0,0.08,0.0,0.0,0.0,56.2,High,high
Avenida Presidente Juscelino Kubitschek,trunk,24,3.5,50,1.0,1.0,0.58,0.75,0.0,0.0,0.0,56.2,High,high
Avenida Cruzeiro do Sul,primary,62,3.8,50,1.0,1.0,0.95,0.34,0.0,0.0,0.05,55.5,High,medium
Avenida Doutor Abraão Ribeiro,primary,19,3.7,50,1.0,0.84,1.0,0.63,0.0,0.0,0.42,55.4,High,medium
Rua Norma Pieruccini Giannotti,primary,17,3.5,50,1.0,0.94,1.0,0.76,0.0,0.0,0.0,55.3,High,high
Praça Campo de Bagatelle,trunk,7,3.1,50,1.0,0.86,1.0,0.0,0.0,0.0,0.0,55.2,High,high
Rua Carlos Vicari,primary,3,3.7,50,1.0,1.0,1.0,0.33,0.0,0.0,0.33,55.2,High,medium
Avenida Marginal Tietê (Local),trunk,2,3.5,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,High,high
Avenida Bernardino de Campos,primary,18,3.7,50,1.0,0.72,1.0,0.72,0.0,0.0,0.06,54.9,High,medium
Avenida Paulista,primary,65,3.5,50,1.0,1.0,1.0,0.63,0.0,0.0,0.03,54.8,High,medium
Avenida Presidente Castelo Branco,trunk,37,3.3,58,0.95,0.81,0.78,0.05,0.0,0.08,0.11,54.6,High,low
Avenida Presidente Castelo Branco (Central),trunk,6,3.0,70,1.0,0.0,1.0,0.0,0.0,0.0,0.0,54.5,High,high
Avenida Assis Chateaubriand (Local),trunk,7,2.7,60,1.0,1.0,1.0,0.14,0.0,0.0,0.0,54.1,High,high
Avenida Doutor Ricardo Jafet,primary,32,3.8,50,1.0,0.97,0.62,0.44,0.0,0.0,0.0,53.6,High,high
Avenida Pedro Álvares Cabral,primary,24,3.7,52,1.0,0.92,0.62,0.29,0.0,0.0,0.25,53.6,High,medium
Avenida Mercúrio,primary,31,3.9,50,1.0,1.0,0.48,0.48,0.0,0.0,0.0,53.5,High,high
Viaduto Grande São Paulo Vereador Manoel de Oliveira Sala,trunk,10,3.4,50,1.0,0.9,0.4,0.0,0.0,0.0,0.0,53.5,High,high
Viaduto Antártica,primary,2,3.5,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,53.5,High,medium
Avenida Sumaré,primary,25,3.2,47,1.0,1.0,0.8,0.8,0.0,0.0,0.0,53.0,High,high
Rua Clélia,primary,2,3.0,50,1.0,1.0,1.0,0.5,0.0,0.0,0.0,53.0,High,high
Avenida Santo Amaro,primary,10,2.8,50,1.0,1.0,1.0,0.7,0.0,0.0,0.0,52.8,High,high
Viaduto General Marcondes Salgado,primary,3,3.0,50,1.0,1.0,1.0,0.33,0.0,0.0,1.0,52.5,High,medium
Avenida Paulo VI,primary,29,3.6,49,1.0,0.93,0.93,0.28,0.0,0.03,0.1,52.5,High,low
Marginal Tietê,motorway_link,1,3.0,70,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.5,High,high
Viaduto Júlio de Mesquita Filho,trunk,10,3.7,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.3,High,high
Ponte Presidente Dutra,motorway,4,2.0,65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.2,High,high
Rua Vergueiro,primary,66,3.2,50,1.0,0.94,0.85,0.61,0.0,0.02,0.12,52.1,High,low
Avenida Rebouças,primary,44,3.2,50,1.0,0.89,0.75,0.57,0.0,0.0,0.07,52.0,High,medium
Avenida Radial Leste-Oeste,trunk,29,3.6,49,1.0,0.17,1.0,0.0,0.0,0.03,0.03,51.9,High,low
Avenida Francisco Matarazzo,primary,51,3.0,50,1.0,0.84,0.84,0.61,0.0,0.0,0.37,51.8,High,medium
Avenida do Estado,trunk,131,2.9,50,1.0,0.46,0.79,0.4,0.0,0.0,0.01,51.7,High,medium
Viaduto 31 de Março,primary,13,3.0,48,1.0,1.0,1.0,0.15,0.0,0.0,0.31,51.6,High,medium
Viaduto General Euclides de Figueiredo,primary,1,3.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,51.5,High,high
Viaduto Okuhara Koei,primary,3,3.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,51.5,High,high
Praça dos Inconfidentes,primary,1,3.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,51.5,High,high
Viaduto Dona Paulina,secondary,6,4.3,50,1.0,0.83,1.0,0.5,0.0,0.0,0.33,51.3,High,medium
Avenida República do Líbano,primary,9,3.1,50,1.0,1.0,0.67,0.33,0.0,0.0,0.0,51.3,High,high
Avenida Alcântara Machado,trunk,95,3.4,50,1.0,0.65,0.78,0.39,0.0,0.0,0.02,51.2,High,medium
Rua Santa Eulália,primary,13,2.7,45,1.0,1.0,1.0,0.77,0.0,0.0,0.08,51.2,High,medium
Avenida Brasil,primary,36,3.3,50,1.0,0.78,0.5,0.92,0.0,0.0,0.11,51.1,High,medium
Avenida Zaki Narchi,primary,16,3.2,50,1.0,0.94,0.5,0.5,0.0,0.0,0.0,51.1,High,high
Avenida Doutor Arnaldo,primary,44,3.3,49,0.98,0.98,1.0,0.23,0.0,0.02,0.25,51.0,High,low
Praça Marechal Deodoro,primary,7,2.9,50,1.0,1.0,1.0,0.86,0.0,0.0,0.57,50.9,High,medium
Ponte Presidente Castelo Branco,trunk,4,2.2,60,1.0,0.5,0.75,0.0,0.0,0.0,0.5,50.8,High,medium
Viaduto Brigadeiro Luís Antônio,secondary,5,4.8,40,1.0,1.0,1.0,0.2,0.0,0.0,0.0,50.8,High,high
Marginal Tietê (Central),trunk,41,2.4,68,1.0,0.1,0.61,0.0,0.0,0.0,0.0,50.8,High,high
Ponte da Casa Verde,primary,3,2.3,50,1.0,1.0,1.0,0.67,0.0,0.0,0.0,50.8,High,high
Viaduto Pacaembu,primary,5,2.8,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,50.7,High,high
Praça General Estilac Leal,primary,5,3.4,48,1.0,0.8,0.6,0.8,0.0,0.0,0.2,50.6,High,medium
Ponte do Tatuapé - Deputado Ricardo Izar,trunk,7,2.7,59,1.0,0.71,0.14,0.0,0.0,0.0,0.43,50.5,High,medium
Avenida Europa,secondary,4,4.0,50,0.0,1.0,1.0,1.0,0.0,0.0,0.75,50.5,High,medium
Praça Ciro Pontes,primary,5,2.6,50,1.0,1.0,1.0,0.6,0.0,0.0,1.0,50.5,High,medium
Avenida General Olímpio da Silveira,primary,20,2.5,49,1.0,1.0,1.0,0.55,0.0,0.0,0.4,50.4,High,medium
Viaduto Vinte e Cinco de Março,primary,7,3.1,50,1.0,1.0,0.57,0.14,0.0,0.0,0.0,50.4,High,high
Avenida Senador Queirós,primary,22,3.3,49,1.0,0.91,0.32,0.82,0.0,0.0,0.23,50.3,High,medium
Praça Marrey Júnior,tertiary,5,4.4,44,1.0,1.0,1.0,1.0,0.0,0.0,1.0,50.2,High,medium
Avenida Paes de Barros,primary,65,2.8,50,1.0,0.75,0.92,0.52,0.0,0.0,0.06,50.2,High,medium
Viaduto Jaceguai,trunk,3,3.7,50,0.67,0.33,1.0,0.0,0.0,0.0,0.0,50.2,High,high
Avenida Rio Branco,primary,50,3.3,49,1.0,0.98,0.32,0.74,0.0,0.02,0.08,50.1,High,low
Rua Cristóvão Colombo,secondary,1,4.0,40,1.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,High,high
Avenida Salim Farah Maluf (Expressa),trunk,9,3.0,54,1.0,0.33,0.0,0.67,0.0,0.0,0.0,49.6,High,high
Túnel José Roberto Fanganiello Melhem,primary,10,2.5,50,1.0,1.0,1.0,0.0,0.0,0.0,0.1,49.5,High,medium
Viaduto Doutor Eusebio Stevaux,primary,2,2.5,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,49.5,High,high
Avenida Olavo Fontoura,primary,24,2.9,42,1.0,0.96,1.0,0.12,0.0,0.0,0.0,49.3,High,high
Praça Dom Gastão Liberal Pinto,primary,5,2.0,50,1.0,0.8,1.0,1.0,0.0,0.0,0.8,49.3,High,medium
Avenida Dom Pedro I,primary,34,2.5,50,1.0,0.82,0.65,0.88,0.0,0.0,0.0,49.2,High,high
Avenida Nove de Julho,primary,88,2.8,50,1.0,0.8,0.74,0.59,0.0,0.0,0.01,49.2,High,medium
Avenida Brás Leme,primary,7,2.4,50,1.0,1.0,1.0,0.0,0.0,0.0,0.29,49.2,High,medium
Avenida São João,primary,35,2.7,48,0.8,0.97,0.71,0.74,0.0,0.0,0.74,49.1,High,medium
Avenida Ordem e Progresso,primary,16,3.2,50,1.0,0.81,0.75,0.25,0.0,0.0,0.0,49.0,High,high
Rua da Consolação,primary,66,3.4,46,0.95,0.79,1.0,0.58,0.0,0.0,0.09,48.9,High,medium
Avenida Salim Farah Maluf,trunk,21,2.6,52,1.0,0.62,0.24,0.52,0.0,0.0,0.14,48.9,High,medium
Avenida Brigadeiro Luís Antônio,secondary,66,4.0,50,0.08,1.0,1.0,0.41,0.0,0.0,0.08,48.8,High,medium
Avenida Santos Dumont,trunk,49,3.3,51,1.0,0.59,0.39,0.39,0.0,0.0,0.1,48.7,High,medium
Rua Anita Garibaldi,tertiary,4,4.2,50,1.0,1.0,0.5,0.5,0.0,0.0,0.0,48.5,High,high
Avenida Pompéia,secondary,1,3.0,50,1.0,1.0,1.0,1.0,0.0,0.0,0.0,48.5,High,high
Avenida Morvan Dias de Figueiredo,motorway_link,4,2.2,58,1.0,0.25,1.0,0.0,0.0,0.0,0.0,48.4,High,high
Avenida da Liberdade,primary,28,2.3,42,1.0,1.0,1.0,0.46,0.0,0.0,0.0,48.2,High,high
Ponte Jornalista Braz Jaime Romano,trunk,3,2.7,63,1.0,0.0,0.33,0.0,0.0,0.0,0.33,48.2,High,medium
Rua das Palmeiras,secondary,4,3.0,50,1.0,1.0,1.0,0.75,0.0,0.0,1.0,47.8,High,medium
Rua Sérgio Tomás,primary,16,3.0,50,1.0,0.19,0.75,0.81,0.0,0.0,0.06,47.7,High,medium
Viaduto do Glicério,trunk,10,3.1,49,1.0,0.0,1.0,0.0,0.0,0.0,0.1,47.5,High,medium
Viaduto Therezinha Zerbini,primary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,47.5,High,medium
Rua Alfonso Renaldo Gallucci,primary,3,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47.5,High,high
Túnel Takeharu Akagawa,primary,7,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.71,47.5,High,medium
Viaduto Doutor Plínio de Queiroz,primary,6,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47.5,High,high
Passagem Subterrânea Daher Elias Cutait,primary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47.5,High,high
Viaduto Antônio Nakashima,primary,3,3.0,43,1.0,1.0,0.33,0.33,0.0,0.0,0.0,47.5,High,high
Rua Catiguá,secondary,2,4.0,50,0.0,1.0,1.0,0.0,0.0,0.0,0.0,47.5,High,high
Rua das Juntas Provisórias,trunk,7,3.1,50,1.0,0.0,0.14,0.57,0.0,0.0,0.0,47.5,High,high
Viaduto Bresser,primary,2,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,47.5,High,medium
Avenida Engenheiro Caetano Alvares,primary,6,2.5,50,1.0,0.67,1.0,0.0,0.0,0.0,0.0,47.5,High,high
