road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Bradfield Highway Southbound,motorway,4,3.0,70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,66.5,High,high
M8 Motorway Tunnel,motorway,23,3.0,84,1.0,0.0,1.0,0.0,0.0,0.0,0.0,63.1,High,high
New Canterbury Road,trunk,1,4.0,50,0.0,1.0,1.0,1.0,0.0,0.0,0.0,62.5,High,high
Falcon Street,trunk,9,4.2,60,1.0,1.0,0.78,0.44,0.0,0.0,0.0,61.8,High,high
Eastern Distributor,motorway,29,2.5,77,1.0,0.17,1.0,0.0,0.0,0.0,0.0,61.3,High,high
Western Distributor,motorway,72,2.8,63,1.0,0.71,1.0,0.01,0.0,0.01,0.07,60.9,High,medium
Broadway,trunk,35,3.9,50,1.0,1.0,1.0,0.46,0.0,0.0,0.0,60.5,High,high
Stanmore Road,trunk,15,4.0,51,0.0,1.0,1.0,0.13,0.0,0.0,0.0,60.1,High,high
Warringah Freeway,motorway,65,1.9,78,0.98,0.62,0.88,0.05,0.0,0.0,0.05,59.8,High,medium
M4 East Tunnel,motorway,9,2.4,76,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.7,High,high
Parramatta Road,trunk,62,3.0,60,1.0,1.0,1.0,0.55,0.0,0.0,0.0,59.5,High,high
Princes Highway,trunk,2,3.0,60,1.0,1.0,1.0,0.5,0.0,0.0,0.0,59.5,High,high
Bradfield Highway,motorway,34,2.1,69,1.0,0.85,1.0,0.03,0.0,0.06,0.09,59.2,High,low
Sydney Harbour Tunnel Southbound,motorway,2,2.0,80,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,High,high
Sydney Harbour Tunnel,motorway,2,2.0,80,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,High,high
Sydney Harbour Tunnel Northbound,motorway,1,2.0,80,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,High,high
City West Link,trunk,48,2.9,68,1.0,0.75,1.0,0.31,0.0,0.0,0.04,58.4,High,medium
Southern Cross Drive,motorway,2,3.0,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,High,high
City Road,trunk,29,3.1,50,1.0,1.0,1.0,0.41,0.0,0.0,0.0,57.1,High,high
Cross City Tunnel,motorway,26,2.0,74,1.0,0.0,1.0,0.0,0.0,0.0,0.04,56.8,High,medium
Wentworth Avenue,secondary,8,6.2,45,0.0,1.0,1.0,0.5,0.0,0.0,0.5,56.8,High,medium
M4 East,motorway,3,2.3,60,1.0,0.0,1.0,0.33,0.0,0.0,0.0,56.3,High,high
Military Road,trunk,35,3.0,58,0.86,0.94,1.0,0.37,0.0,0.06,0.06,56.1,High,medium
Flinders Street,primary,14,3.0,60,1.0,1.0,1.0,0.57,0.0,0.0,0.0,55.7,High,high
Cahill Expressway,motorway,71,1.9,71,0.99,0.31,1.0,0.0,0.0,0.01,0.06,55.7,High,medium
Gibbons Street,primary,7,3.7,50,1.0,0.86,1.0,0.57,0.0,0.0,0.0,55.2,High,high
New South Head Road,primary,53,3.2,60,0.51,0.96,1.0,0.26,0.0,0.23,0.0,54.5,High,medium
Botany Road,primary,32,3.5,51,0.47,1.0,1.0,0.5,0.0,0.0,0.03,54.0,High,medium
M4 Motorway,motorway,1,2.0,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,High,high
Iron Cove Link,motorway,2,2.0,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,High,high
Bradfield Highway Onramp,motorway_link,8,2.0,65,0.12,1.0,1.0,0.12,0.0,0.0,0.5,53.6,High,medium
Cleveland Street,primary,74,3.6,50,0.41,0.93,1.0,0.43,0.0,0.01,0.03,53.4,High,medium
York Street Offramp,motorway_link,4,3.0,58,1.0,1.0,1.0,0.5,0.0,0.25,0.25,52.9,High,medium
Pacific Highway,primary,60,3.0,59,0.87,0.93,1.0,0.33,0.0,0.0,0.02,52.6,High,medium
King Street Offramp,motorway_link,8,2.5,50,1.0,1.0,1.0,0.12,0.0,0.0,0.0,51.9,High,high
Alison Road,primary,33,3.3,57,0.82,0.91,0.45,0.36,0.0,0.09,0.15,51.7,High,medium
Warringah Freeway On Ramp,motorway_link,8,1.2,70,1.0,1.0,1.0,0.0,0.0,0.0,0.5,51.5,High,medium
Anzac Parade,primary,52,2.9,57,1.0,0.94,0.54,0.31,0.0,0.0,0.0,51.3,High,high
Syd Einfeld Drive,primary,16,3.0,69,1.0,0.0,1.0,0.19,0.0,0.0,0.0,50.8,High,high
Euston Road,primary,15,3.1,56,0.87,0.27,1.0,0.67,0.0,0.0,0.0,50.6,High,high
Fig Street Offramp,motorway_link,3,1.3,60,1.0,1.0,1.0,0.33,0.0,0.67,0.0,50.3,High,medium
Sydenham Road,primary,5,4.0,50,0.0,0.0,1.0,0.8,0.0,0.0,0.0,49.9,High,high
