road,osm_class,segments,lanes,speed_kmh,transit,commercial,score,category,confidence
新宿通り(進路変更禁止),trunk,1,5,60,True,True,69.0,High,high
首都高速都心環状線(第2通行帯),motorway,1,2,90,True,True,67.5,High,medium
首都高速11号台場線・東京港連絡橋,motorway,2,2,90,True,True,67.5,High,medium
京葉道路;錦糸町駅前,trunk,7,4,70,True,True,63.6,High,low
首都高速4号新宿線,motorway,29,3,90,True,True,63.5,High,low
新宿通り(鉄道弘済会館前),trunk,3,3,70,True,True,62.5,High,medium
昭和通り(Showa-dori),trunk,1,3,60,True,True,61.0,High,high
水戸街道,trunk,7,5,70,True,True,60.9,High,low
首都高速7号小松川線,motorway,6,2,90,True,True,60.5,High,medium
首都高速都心環状線,motorway,121,4,90,True,True,60.4,High,low
昭和通り;和泉橋南,trunk,3,3,60,True,True,60.0,High,high
首都高速5号池袋線,motorway,14,3,90,False,True,59.5,High,low
首都高速3号渋谷線,motorway,9,2,90,True,True,59.5,High,medium
新宿通り;半蔵門,trunk,3,4,70,True,True,58.8,High,medium
昭和通り（進路変更禁止）,trunk,2,3,60,True,True,58.0,High,high
内堀通り;半蔵門,trunk,4,4,70,True,True,57.8,High,medium
首都高速11号台場線,motorway,8,3,90,True,True,57.7,High,low
青山通り,trunk,32,4,70,True,True,57.4,High,low
新宿通り,trunk,53,5,70,True,True,57.3,High,low
首都高速湾岸線,motorway,15,4,80,True,True,57.1,High,low
京葉道路,trunk,45,4,70,True,True,56.8,High,low
国道17号,trunk,9,4,50,True,True,56.8,High,high
首都高速2号目黒線,motorway,11,2,90,False,True,56.0,High,low
第一京浜,trunk,56,5,70,True,True,55.7,High,low
白山通り,primary,44,6,50,True,True,55.5,High,medium
桜田通り,trunk,65,4,70,True,True,55.2,High,low
首都高速6号向島線,motorway,18,4,90,True,True,54.9,High,medium
江戸通り,trunk,58,5,70,True,True,54.7,High,low
首都高速1号上野線,motorway,10,2,90,True,True,54.5,High,medium
環状2号線;万世橋,trunk,1,2,70,True,False,54.5,High,low
首都高速1号羽田線,motorway,6,3,90,True,True,54.1,High,low
国道246号,trunk,14,2,70,True,True,53.6,High,low
晴海通り,trunk,98,6,70,True,True,52.9,High,low
六本木通り(高樹町),secondary,4,5,60,True,True,52.4,High,medium
永代通り,trunk,59,3,70,True,True,51.8,High,low
れいめい橋,primary,2,3,50,True,True,51.5,High,medium
晴海通り;万年橋,primary,2,3,50,True,True,51.5,High,medium
浜崎橋,primary,2,4,50,True,True,51.5,High,low
晴海通り(進路変更禁止),primary,1,3,50,True,True,51.5,High,medium
有明通り,primary,21,6,50,True,True,51.1,High,medium
目黒通り,primary,14,3,40,True,True,51.1,High,high
宝町出口,motorway_link,1,1,60,True,True,51.0,High,medium
六本木通り(側道),secondary,1,3,60,True,True,51.0,High,high
靖国通り,trunk,92,4,70,True,True,50.6,High,low
京葉道路;両国橋,trunk,2,2,70,False,True,50.5,High,low
日比谷豊洲埠頭東雲町線,primary,9,2,50,True,True,50.0,High,low
内堀通り,trunk,65,7,70,True,True,49.9,High,low
甲州街道,trunk,6,2,70,False,True,49.9,High,medium
昌平橋通り,trunk,19,5,70,True,True,49.8,High,low
中央通り;万世橋,trunk,4,3,70,True,False,49.8,High,low
首都高速10号晴海線,motorway,10,1,90,False,True,49.8,High,low
千代田練馬田無線,primary,13,3,50,True,True,49.8,High,low
海岸通り,primary,25,5,50,True,True,49.5,High,low
外苑東通り(停止禁止部分),primary,2,3,50,True,True,49.5,High,low
