road,osm_class,segments,lanes,speed_mph,bus_route,near_commercial,score,category,confidence
Soldiers Field Frontage Road Eastbound,primary,3,4,40,True,True,54.3,High,high
Memorial Drive,trunk,12,4,40,False,True,53.5,High,high
Soldiers Field Road,motorway,11,3,35,False,True,49.6,High,high
McGrath Highway,trunk,28,4,40,True,True,49.4,High,medium
Union Square,primary,6,4,20,True,True,47.7,High,high
Prospect Street,primary,29,3,30,True,True,45.5,High,high
Eliot Bridge,motorway,4,3,35,False,False,45.5,High,high
River Street,primary,13,3,35,True,True,44.8,High,high
Massachusetts Avenue,primary,114,4,25,True,True,44.0,High,high
Peabody Street,primary,6,3,20,True,True,43.7,High,high
Somerville Avenue,primary,39,4,25,True,True,42.8,High,high
Hampshire Street,primary,21,2,25,True,True,42.1,High,high
John F. Kennedy Street,primary,8,3,25,True,True,41.5,High,medium
Mount Auburn Street,primary,24,3,25,True,True,41.2,High,high
Cambridge Street,primary,59,4,40,True,True,41.0,High,medium
Soldiers Field Frontage Road Westbound,primary,2,2,40,False,True,41.0,High,high
Beacon Street,primary,14,3,25,True,True,40.6,High,high
Eliot Street,primary,7,3,25,True,True,39.4,High,high
Sidney Street,primary,5,3,25,True,True,39.4,High,high
Broadway,primary,20,5,25,True,True,39.3,High,high
Western Avenue,primary,33,3,25,True,True,39.1,High,high
Sidney Street Extension,primary,2,3,25,False,True,39.0,High,high
Vassar Street,secondary,5,3,20,True,True,38.6,High,high
North Harvard Street,primary,11,3,25,True,True,37.9,Moderate,high
Main Street,primary,5,3,25,False,True,37.8,Moderate,high
Brookline Street,primary,4,2,20,True,True,37.0,Moderate,high
Waterhouse Street,primary,4,2,20,True,True,36.5,Moderate,high
Washington Street,primary,25,3,30,True,True,35.6,Moderate,low
Brattle Street,primary,14,4,25,True,True,35.0,Moderate,high
Albany Street,secondary,5,3,25,True,True,35.0,Moderate,high
Kirkland Street,secondary,6,2,25,True,True,34.7,Moderate,high
Webster Avenue,secondary,16,3,30,True,True,34.5,Moderate,medium
Medford Street,secondary,18,3,30,True,True,33.8,Moderate,medium
Quincy Street,secondary,8,3,25,True,True,33.4,Moderate,high
Portland Street,secondary,6,3,25,False,True,33.0,Moderate,high
Garden Street,primary,29,5,20,True,True,32.8,Moderate,high
Bow Street,primary,14,1,25,True,True,32.6,Moderate,high
Concord Avenue,primary,15,2,25,True,True,32.3,Moderate,medium
Cardinal Medeiros Avenue,secondary,3,3,25,False,True,32.3,Moderate,high
Highland Avenue,secondary,5,2,25,True,True,31.6,Moderate,medium
Binney Street,secondary,2,2,20,False,True,31.0,Moderate,high
Putnam Avenue,secondary,6,2,20,False,True,30.3,Moderate,high
Mason Street,secondary,4,3,25,False,True,30.0,Moderate,high
Columbia Street,secondary,18,3,25,True,True,29.4,Moderate,high
Summer Street,secondary,17,2,25,False,True,29.4,Moderate,high
Inman Street,secondary,4,2,20,False,True,29.0,Moderate,high
Landsdowne Street,tertiary,2,2,20,True,True,29.0,Moderate,high
Park Street,tertiary,4,2,20,True,True,29.0,Moderate,high
Pearl Street,tertiary,11,2,20,True,True,27.4,Moderate,high
Elm Street,secondary,10,2,25,True,True,26.0,Moderate,high
Hawthorn Street,primary,2,2,30,False,True,24.5,Moderate,medium
Magazine Street,tertiary,2,2,20,True,True,24.0,Moderate,high
Dane Street,tertiary,6,2,25,False,True,23.0,Moderate,medium
Plympton Street,tertiary,1,2,20,False,True,23.0,Moderate,high
Lowell Street,tertiary,2,2,20,False,True,23.0,Moderate,high
Springfield Street,tertiary,5,2,20,False,True,23.0,Moderate,medium
Arsenal Square,tertiary,1,2,20,False,True,23.0,Moderate,high
